LFO,YEAR,PAYQTR1,EMP,ESTAB,PAYANN,EMPSZES,state
942,2019,39606,3423,233,167616,001,30
942,2019,1982,146,74,7248,210,30
942,2019,3962,422,62,16502,220,30
942,2019,6481,792,61,26926,230,30
942,2019,6974,822,28,30822,241,30
942,2019,1333,244,4,4708,242,30
942,2019,6597,454,3,26813,251,30
001,2019,9684875,856242,54939,39432674,001,31
001,2019,463578,50668,30150,2263919,210,31
001,2019,598053,66269,9958,2550555,220,31
001,2019,868470,94288,6953,3719513,230,31
001,2019,1451235,153531,5134,6059707,241,31
001,2019,1103644,103090,1515,4494296,242,31
001,2019,1427087,122007,822,5807430,251,31
001,2019,1166487,89292,251,4493990,252,31
001,2019,1075032,69219,103,3925582,254,31
9101,2019,201554,17806,2621,814575,220,31
001,2019,1531289,107878,53,6117682,260,31
9101,2019,4771625,352823,12027,18428851,001,31
9101,2019,118736,8266,4369,503786,210,31
9101,2019,324327,28745,2110,1347124,230,31
9101,2019,587964,51528,1716,2377504,241,31
9101,2019,529207,41333,598,2073769,242,31
9101,2019,741252,56252,373,2938536,251,31
9101,2019,788343,57350,160,2970628,252,31
9101,2019,592901,35350,54,2038101,254,31
9101,2019,887341,56193,26,3364828,260,31
9111,2019,2396998,252985,25788,10528544,001,31
9111,2019,218689,25197,15480,1132654,210,31
9111,2019,260406,30015,4530,1172912,220,31
9111,2019,346617,40716,3019,1543443,230,31
9111,2019,519528,60027,2021,2292336,241,31
9111,2019,302039,31429,470,1320110,242,31
9111,2019,317714,29904,209,1363078,251,31
9111,2019,169608,13324,37,669012,252,31
9111,2019,122129,10046,14,454169,254,31
9111,2019,140268,12327,8,580830,260,31
920,2019,197213,25483,5631,830111,001,31
920,2019,35502,6632,4472,182610,210,31
920,2019,26931,4415,682,112007,220,31
920,2019,30851,3901,293,125038,230,31
920,2019,27915,3846,129,112796,241,31
920,2019,20938,2355,34,87348,242,31
920,2019,26929,2476,17,107945,251,31
920,2019,12944,1171,3,51704,252,31
930,2019,728230,84051,5922,3064849,001,31
930,2019,51588,5106,3067,272952,210,31
930,2019,55211,6875,1034,227152,220,31
930,2019,81647,11219,821,347671,230,31
930,2019,155417,21277,706,621107,241,31
930,2019,117827,12890,193,456419,242,31
930,2019,110421,11165,74,446130,251,31
930,2019,59845,5278,15,250309,252,31
930,2019,49688,5282,9,223040,254,31
930,2019,46586,4959,3,220069,260,31
932,2019,1358055,124155,5047,5583958,001,31
932,2019,34954,5112,2588,149793,210,31
932,2019,44612,6253,960,182248,220,31
932,2019,70053,8386,612,290356,230,31
932,2019,111306,10247,30,449248,252,31
932,2019,134776,14894,497,551008,241,31
932,2019,116682,13771,201,485822,242,31
932,2019,175201,18484,124,719932,251,31
932,2019,266283,15315,21,1037817,254,31
932,2019,404188,31693,14,1717734,260,31
933,2019,121173,8107,43,526457,001,31
933,2019,2737,263,7,11277,241,31
933,2019,6167,526,7,25520,242,31
933,2019,43171,3222,21,182697,251,31
933,2019,12765,846,3,54150,252,31
933,2019,20780,1847,3,88024,254,31
942,2019,111581,8638,481,469904,001,31
942,2019,4109,355,174,22124,210,31
942,2019,9339,905,131,41661,220,31
942,2019,14901,1304,97,65606,230,31
942,2019,22898,1696,58,93679,241,31
942,2019,10784,786,12,45308,242,31
942,2019,12399,504,4,49112,251,31
942,2019,11676,1076,3,48939,252,31
001,2019,14407609,1261577,68567,58121883,001,32
001,2019,665101,56941,36424,3419334,210,32
001,2019,833149,81688,12140,3447548,220,32
001,2019,1261897,124562,9276,5237750,230,32
001,2019,2034657,200153,6661,8319628,241,32
001,2019,1608115,150136,2202,6415607,242,32
001,2019,2168692,190147,1297,8587160,251,32
001,2019,1351811,106586,315,5320287,252,32
001,2019,1137465,97368,146,4406343,254,32
001,2019,3346722,253996,106,12968226,260,32
9101,2019,7845611,607613,17817,30520967,001,32
9101,2019,201981,12684,7464,944419,210,32
9101,2019,284460,21970,3257,1120210,220,32
9101,2019,486765,39371,2925,1986847,230,32
9101,2019,835959,66025,2200,3293872,241,32
9101,2019,834131,65939,946,3176249,242,32
9101,2019,1244143,97693,675,4817745,251,32
9101,2019,877927,60069,177,3380161,252,32
9101,2019,814097,64806,95,3107386,254,32
9101,2019,2266148,179056,78,8694078,260,32
9111,2019,3314071,334988,31899,14323454,001,32
9111,2019,325506,28163,18925,1731518,210,32
9111,2019,366549,37945,5613,1556840,220,32
9111,2019,497542,51753,3869,2117011,230,32
9111,2019,690612,73967,2471,2954569,241,32
9111,2019,389860,40449,611,1660299,242,32
9111,2019,448286,46366,311,1878970,251,32
