YEAR,state,county,MOVEDNET,FROMABROAD,POP1YR,TODIFFSTATE,FROMDIFFSTATE,POP1YRAGO
2010,8,27,-503.0,12,3859,260,67,4311
2010,8,29,832.0,87,30360,737,746,29537
2010,8,31,-7417.0,4692,568759,20424,20062,572574
2010,8,33,130.0,0,2017,0,129,1887
2010,8,35,6634.0,933,269526,8061,12415,262387
2010,8,37,-1106.0,579,50053,1954,1284,50430
2010,8,39,-367.0,31,22518,520,376,22856
2010,8,41,11065.0,7891,591490,31349,41884,574621
2010,8,43,447.0,803,46556,1522,2085,45298
2010,8,45,-973.0,361,54155,2233,1629,55038
2010,8,47,9.0,28,5072,35,222,5031
2010,8,49,-529.0,78,14412,669,359,14948
2010,8,51,-308.0,408,14952,1040,506,14905
2010,8,53,-54.0,0,479,31,30,533
2010,8,55,111.0,119,6945,212,234,6715
2010,8,57,-10.0,0,1464,11,73,1483
2010,8,59,2569.0,2376,522428,11685,13804,518205
2010,8,61,-24.0,1,1629,59,41,1652
2010,8,63,37.0,92,8086,312,270,7931
2010,8,65,-181.0,0,6938,184,302,7164
2010,8,67,424.0,249,49567,2534,2989,48874
2010,8,69,5163.0,1241,287730,10886,13619,281807
2010,8,71,211.0,3,15574,282,592,15409
2010,8,73,138.0,58,5416,110,80,5207
2010,8,75,211.0,64,21985,517,924,21707
2010,8,77,2127.0,311,140705,4775,5452,138353
2010,8,79,9.0,4,1020,116,70,1046
2010,8,81,-43.0,21,13362,469,336,13291
2010,8,83,509.0,4,24958,602,1050,24489
2010,8,85,1158.0,292,39759,728,1806,38323
2010,8,87,-781.0,145,27446,684,400,28150
2010,8,89,323.0,21,18608,276,407,18274
2010,8,91,75.0,0,4304,71,291,4310
2010,8,93,1012.0,22,16139,404,936,15200
2010,8,95,-440.0,9,4326,105,76,4776
2010,8,97,-149.0,209,16190,833,641,16287
2010,8,99,-29.0,45,12465,491,399,12457
2010,8,101,651.0,457,154440,3337,3102,153517
2010,8,103,-505.0,57,6403,392,187,6812
2010,8,105,-256.0,17,11653,255,342,11886
2010,8,107,-732.0,159,22614,1625,1034,23260
2010,8,109,-55.0,53,6097,228,137,6045
2010,8,111,-48.0,0,752,29,41,800
2010,8,113,-131.0,77,7237,524,562,7240
2010,8,115,-6.0,5,2393,70,70,2394
2010,8,117,50.0,129,26820,1327,1594,26707
2010,8,119,-387.0,159,22610,1099,812,22810
2010,8,121,206.0,109,4736,65,159,4438
2010,8,123,4327.0,783,238916,5381,6791,234251
2010,8,125,93.0,78,9733,332,205,9558
2010,9,1,-11425.0,7532,895159,28681,23371,899373
2010,9,3,-3043.0,5212,878136,20524,17442,876765
2010,9,5,-3332.0,543,188279,5466,1952,191118
2010,9,7,-937.0,809,163018,4538,4222,163146
2010,9,9,-4659.0,4920,847500,21794,16605,847857
2010,9,11,-350.0,1810,269685,12268,11163,268309
2010,9,13,3542.0,721,149527,3665,3914,145264
2010,9,15,1697.0,231,116467,2417,2177,114573
2010,10,1,2582.0,681,155134,5626,6645,153631
2010,10,3,11082.0,2931,527105,19402,22750,519809
2010,10,5,1078.0,1092,188869,5968,7137,187438
2010,11,1,-7620.0,7920,576877,59753,49223,579610
2010,12,1,4852.0,2166,241963,8172,7640,236230
2010,12,3,941.0,41,26194,255,440,25230
2010,12,5,1112.0,1057,164363,7466,8383,162382
2010,12,7,902.0,9,28254,374,228,27359
2010,12,9,3005.0,2098,535038,14556,15444,531702
2010,12,11,-6155.0,18797,1714414,43486,32713,1706690
2010,12,13,858.0,7,14272,76,165,13422
2010,12,15,4091.0,484,158133,4211,6263,154659
2010,12,17,2218.0,266,139576,3106,3881,138368
2010,12,19,2985.0,1062,183825,3634,4696,180078
2010,12,21,-742.0,3212,313869,8834,9251,313921
2010,12,23,564.0,186,66339,2074,2038,65582
2010,12,27,151.0,700,34131,790,587,33070
2010,12,29,-804.0,14,16076,260,99,16655
2010,12,31,2145.0,5276,843727,27971,28589,839738
2010,12,33,2545.0,1735,293940,17787,19056,290878
2010,12,35,2023.0,231,90815,3219,3926,89613
2010,12,37,326.0,45,11266,321,187,10911
2010,12,39,535.0,63,45508,391,582,45226
2010,12,41,699.0,41,16416,122,203,15738
2010,12,43,58.0,13,12517,136,126,12466
2010,12,45,355.0,0,15703,443,243,15340
2010,12,47,502.0,3,14546,359,471,14050
2010,12,49,487.0,292,27230,339,671,26778
