YEAR,state,county,PAYQTR1,EMP,ESTAB,PAYANN
2009,6,49,9385,1310,162,40915
2009,6,51,43329,5862,573,157673
2009,6,53,971378,100735,8500,3973032
2009,6,55,598715,55167,3996,2443866
2009,6,57,219599,26747,3097,918271
2009,6,59,15751277,1336341,87483,62901844
2009,6,61,1310522,123022,9482,5228257
2009,6,63,30676,3812,682,134107
2009,6,65,3994775,480413,34055,15955787
2009,6,67,4372953,417036,27635,17672153
2009,6,69,84360,10894,903,368653
2009,6,71,4481778,519247,31866,18062608
2009,6,73,12582582,1119643,76345,50265230
2009,6,75,9597422,492689,30490,35300499
2009,6,77,1433215,165952,11044,5972383
2009,6,79,712135,82573,7950,2847840
2009,6,81,6139624,336120,19772,23738933
2009,6,83,1399468,136826,11203,5735471
2009,6,85,16075741,850828,44164,64936275
2009,6,87,703227,71708,6885,2850848
2009,6,89,372349,47789,4428,1581874
2009,6,91,2066,322,74,9667
2009,6,93,57079,8517,1187,245924
2009,6,95,988384,100025,6839,4076313
2009,6,97,1557704,149366,13383,6315095
2009,6,99,1139405,127658,8578,4813646
2009,6,101,158391,20087,1789,670898
2009,6,103,88647,11841,1058,377213
2009,6,105,8863,1551,281,42243
2009,6,107,681845,87794,6276,2823455
2009,6,109,100087,13206,1436,416857
2009,6,111,2790416,245788,19677,10889164
2009,6,113,594459,61609,3828,2445298
2009,6,115,70449,9419,818,293785
2009,6,999,2663835,193757,372,10740497
2009,8,1,1320632,134044,8214,5334357
2009,8,3,37494,5315,509,156878
2009,8,5,3164927,239689,16994,12074852
2009,8,7,17331,2913,508,66566
2009,8,9,3571,563,91,13534
2009,8,11,3379,581,63,15435
2009,8,13,1671850,134041,11352,6483785
2009,8,14,460066,29760,1677,1749576
2009,8,15,31218,5039,881,135704
2009,8,17,7942,631,61,29287
2009,8,19,20999,2681,346,78349
2009,8,21,3378,544,96,14489
2009,8,23,902,187,44,4235
2009,8,25,3827,587,39,14281
2009,8,27,3164,562,146,14899
2009,8,29,46219,6554,891,188386
2009,8,31,5251949,382765,21959,19751850
2009,8,33,955,204,44,5063
2009,8,35,926594,81343,7396,3836288
2009,8,37,279611,31662,3341,998583
2009,8,39,13669,1909,522,61554
2009,8,41,2068976,216331,15756,8457648
2009,8,43,48477,7863,868,200418
2009,8,45,231419,21417,2668,877729
2009,8,47,32055,3910,113,154130
2009,8,49,42255,5702,905,165119
2009,8,51,51753,6773,1090,191732
2009,8,53,951,184,74,4950
2009,8,55,9402,1448,179,39397
2009,8,57,1787,289,63,9292
2009,8,59,2038898,185387,16231,8112309
2009,8,61,1733,209,43,6048
2009,8,63,12949,1931,249,54566
2009,8,65,7518,1272,206,29700
2009,8,67,164481,19582,2374,670477
2009,8,69,940262,104597,9361,3847056
2009,8,71,23244,3379,408,90951
2009,8,73,8117,1177,125,35104
2009,8,75,36725,5655,601,149039
2009,8,77,472270,53464,4816,1828034
2009,8,79,945,184,60,5115
2009,8,81,38358,4029,446,163500
2009,8,83,47240,6665,784,192231
2009,8,85,86454,11429,1345,359179
2009,8,87,69859,8562,658,277259
2009,8,89,26541,4607,469,116718
2009,8,91,6912,1060,304,32575
2009,8,93,7249,1292,464,32216
2009,8,95,6544,956,134,29500
2009,8,97,148712,16278,1620,517501
2009,8,99,18176,2972,356,75165
2009,8,101,360399,46927,3193,1483746
2009,8,103,26629,1951,248,90846
2009,8,105,16781,2730,377,77961
2009,8,107,182161,18179,1639,640849
2009,8,109,4257,778,123,20735
2009,8,111,1304,196,69,5970
2009,8,113,37145,4704,631,129829
2009,8,115,2068,432,76,9118
2009,8,117,141703,21403,2114,511779
2009,8,119,33310,5115,697,144725
2009,8,121,3459,475,102,14031
2009,8,123,637914,66870,5193,2532580
2009,8,125,24283,2861,352,93731
2009,8,999,1056297,72779,239,3953210
2009,9,1,8269871,407342,27291,28988902
2009,9,3,6058236,449294,22935,23103029
2009,9,5,445180,52370,5039,1928391
2009,9,7,648685,61152,4227,2583955
2009,9,9,3579795,327054,19893,14635332
2009,9,11,1060821,104745,5878,4323019
2009,9,13,230535,30274,2486,1012000
2009,9,15,245765,29798,2159,1034970
2009,9,999,117696,6262,140,417127
2009,10,1,382093,48947,3169,1580283
2009,10,3,3531255,262628,15879,13314524
2009,10,5,423897,58670,5408,1833660
2009,10,999,14514,601,67,48925
2009,11,1,7580965,466550,21210,30236461
2009,12,1,671139,82708,5794,2770651
2009,12,3,40040,5413,384,157947
2009,12,5,407320,54350,4510,1706917
2009,12,7,27330,4321,455,112294
2009,12,9,1605556,165707,13005,6636825
2009,12,11,6040917,610674,55289,24382736
2009,12,13,8944,1565,216,37218
2009,12,15,262350,40953,3539,1075717
2009,12,17,184591,24719,2718,781548
2009,12,19,246095,36229,3616,1024605
2009,12,21,938208,101535,9860,3656524
2009,12,23,129354,17039,1356,526039
2009,12,27,38801,4902,457,151773
2009,12,29,8647,1337,179,33523
2009,12,31,4419595,408297,23830,16921594
2009,12,33,787603,98136,6671,3220875
2009,12,35,111123,16572,1781,442180
2009,12,37,11467,1986,324,47487
2009,12,39,63185,9200,640,281157
2009,12,41,9503,1499,215,39330
2009,12,43,6217,811,92,25825
2009,12,45,14719,2095,295,57345
