2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DP03_0088PE,DP03_0087PE,DP03_0087PE,DP03_0087PE,DP03_0087PE,DP03_0087PE,DP03_0087PE,DP03_0087PE,DP03_0087PE,DP03_0087PE,DP03_0087PE
DP03_0089PE,DP03_0088PE,DP03_0088PE,DP03_0088PE,DP03_0088PE,DP03_0088PE,DP03_0088PE,DP03_0088PE,DP03_0088PE,DP03_0088PE,DP03_0088PE
DP03_0090PE,DP03_0089PE,DP03_0089PE,DP03_0089PE,DP03_0089PE,DP03_0089PE,DP03_0089PE,DP03_0089PE,DP03_0089PE,DP03_0089PE,DP03_0089PE
DP03_0091PE,DP03_0090PE,DP03_0090PE,DP03_0090PE,DP03_0090PE,DP03_0090PE,DP03_0090PE,DP03_0090PE,DP03_0090PE,DP03_0090PE,DP03_0090PE
DP03_0092PE,DP03_0091PE,DP03_0091PE,DP03_0091PE,DP03_0091PE,DP03_0091PE,DP03_0091PE,DP03_0091PE,DP03_0091PE,DP03_0091PE,DP03_0091PE
DP03_0093PE,DP03_0092PE,DP03_0092PE,DP03_0092PE,DP03_0092PE,DP03_0092PE,DP03_0092PE,DP03_0092PE,DP03_0092PE,DP03_0092PE,DP03_0092PE
DP03_0094PE,DP03_0093PE,DP03_0093PE,DP03_0093PE,DP03_0093PE,DP03_0093PE,DP03_0093PE,DP03_0093PE,DP03_0093PE,DP03_0093PE,DP03_0093PE
DP03_0095PE,DP03_0094PE,DP03_0094PE,DP03_0094PE,DP03_0094PE,DP03_0094PE,DP03_0094PE,DP03_0094PE,DP03_0094PE,DP03_0094PE,DP03_0094PE
DP04_0001E,DP04_0001E,DP04_0001E,DP04_0001E,DP04_0001E,DP04_0001E,DP04_0001E,DP04_0001E,DP04_0001E,DP04_0001E,DP04_0001E
DP04_0002PE,DP04_0002PE,DP04_0002PE,DP04_0002PE,DP04_0002PE,DP04_0002PE,DP04_0002PE,DP04_0002PE,DP04_0002PE,DP04_0002PE,DP04_0002PE
DP04_0003PE,DP04_0003PE,DP04_0003PE,DP04_0003PE,DP04_0003PE,DP04_0003PE,DP04_0003PE,DP04_0003PE,DP04_0003PE,DP04_0003PE,DP04_0003PE
DP04_0080PE,DP04_0080PE,DP04_0080PE,DP04_0080PE,DP04_0080PE,DP04_0080PE,DP04_0081PE,DP04_0081PE,DP04_0081PE,DP04_0081PE,DP04_0081PE
DP04_0081PE,DP04_0081PE,DP04_0081PE,DP04_0081PE,DP04_0081PE,DP04_0081PE,DP04_0082PE,DP04_0082PE,DP04_0082PE,DP04_0082PE,DP04_0082PE
DP04_0082PE,DP04_0082PE,DP04_0082PE,DP04_0082PE,DP04_0082PE,DP04_0082PE,DP04_0083PE,DP04_0083PE,DP04_0083PE,DP04_0083PE,DP04_0083PE
DP04_0083PE,DP04_0083PE,DP04_0083PE,DP04_0083PE,DP04_0083PE,DP04_0083PE,DP04_0084PE,DP04_0084PE,DP04_0084PE,DP04_0084PE,DP04_0084PE
DP04_0084PE,DP04_0084PE,DP04_0084PE,DP04_0084PE,DP04_0084PE,DP04_0084PE,DP04_0085PE,DP04_0085PE,DP04_0085PE,DP04_0085PE,DP04_0085PE
DP04_0085PE,DP04_0085PE,DP04_0085PE,DP04_0085PE,DP04_0085PE,DP04_0085PE,DP04_0086PE,DP04_0086PE,DP04_0086PE,DP04_0086PE,DP04_0086PE
DP04_0086PE,DP04_0086PE,DP04_0086PE,DP04_0086PE,DP04_0086PE,DP04_0086PE,DP04_0087PE,DP04_0087PE,DP04_0087PE,DP04_0087PE,DP04_0087PE
DP04_0087PE,DP04_0087PE,DP04_0087PE,DP04_0087PE,DP04_0087PE,DP04_0087PE,DP04_0088PE,DP04_0088PE,DP04_0088PE,DP04_0088PE,DP04_0088PE
DP04_0088PE,DP04_0088PE,DP04_0088PE,DP04_0088PE,DP04_0088PE,DP04_0088PE,DP04_0089PE,DP04_0089PE,DP04_0089PE,DP04_0089PE,DP04_0089PE
DP04_0108E,DP04_0108E,DP04_0108E,DP04_0108E,DP04_0108E,DP04_0108E,DP04_0110E,DP04_0110E,DP04_0110E,DP04_0110E,DP04_0110E
